name;openpl;instagram;Bundesland;Verband;Datum;Ort;Geschlecht;Alter;Squat;Bench;deadlift
Andy-Elvis Dörner;andyelvisdorner;None;None;Germany-UA;01.12.2005;Deutschland;M;;305;192.5;290
Justin Sörensen;justinsorensen;None;None;BVDK;29.09.2021;None;M;27;250;170;280
Harald Kraft;haraldkraft;None;None;UPC-Germany;01.03.2017;None;M;;300;182.5;317.5
Jan Fleckenstein;janfleckenstein;None;None;WUAP;17.10.2017;Deutschland;M;25;260;207.5;275
Jonas Homscheid;jonashomscheid;None;NRW;WPC-Germany;04.09.2020;Deutschland;M;22;250;137.5;280
Kay Milde;kaymilde;None;SN;UPC-Germany;08.03.2018;Deutschland;M;40;240;157.5;290
Alexander Khounani;alexanderkhounani;None;BB;BVDK;16.09.2016;Deutschland;M;23;220;147.5;242.5
Kacar Bucar;kacarbucar;None;None;UPC-Germany;27.03.2015;None;M;;250;215;300
Mario Stöger;mariostoger;None;None;WUAP;05.10.2016;Deutschland;M;;280;190;280
Hagen Rokahr;hagenrokahr;None;None;UPC-Germany;01.03.2017;None;M;;300;175;270
Christian Flueras;christianflueras;None;BY;BVDK;20.10.2018;Deutschland;M;22;260;183.5;280
Michael Sommer;michaelsommer;None;NV;WPC;06.11.2012;Deutschland;M;24;300;220;290
Friederike Hoppe;friederikehoppe;coronaschwester;None;BVDK;29.03.2019;Deutschland;W;34;157.5;103;180
Lukas Markmeyer;lukasmarkmeyer;luke_xm;BY;BVDK;16.03.2019;Deutschland;M;22;205;140;268
Thomas Klumbies;thomasklumbies;None;None;BVDK;21.08.2022;None;M;25;262.5;177.5;295
Marnn Engel;marnnengel;None;None;UPC-Germany;01.03.2017;None;M;;240;180;260
Niklas Lapinske;niklaslapinske;None;None;BVDK;21.08.2022;Deutschland;M;25;260;167.5;305
Lukas Hähnnel;lukashahnnel;None;HE;Germany-UA;17.12.2016;None;M;22;270;180;290
Sandra Augustiniok;sandraaugustiniok;None;None;BVDK;19.09.2021;Deutschland;W;22;155;93;162.5
Percy Covic;percycovic;None;None;BVDK;19.09.2021;None;M;20;290;185;292.5
Florian Luxenburger;florianluxenburger;None;None;BVDK;10.04.2022;Deutschland;M;30;252.5;177.5;293.5
Tobias Strömel;tobiasstromel;None;None;BVDK;21.08.2022;Deutschland;M;32;245;150;260
Friedhelm Hill;friedhelmhill;None;BY;GDFPF;13.10.2018;None;M;35;290;205;280
Nino Häbel;ninohabel;None;HH;Germany-UA;01.09.2017;None;M;;257.5;190;300
Burak Kacar;burakkacar;None;None;UPC-Germany;31.03.2016;Deutschland;M;25;230;215;295
Aleksandr Florov;aleksandrflorov;None;NVS;FPR;04.12.2018;Deutschland;M;22;255;185;292.5
Matthias Kuchelmeister;matthiaskuchelmeister;None;None;BVDK;21.08.2022;None;M;32;245;180;302.5
Ott Jaari;ottjaari;None;HH;Germany-UA;01.09.2017;None;M;;237.5;180;275
Sascha Honsel;saschahonsel;None;HE;Germany-UA;14.12.2019;None;M;31;260;180;300
Marco Lamprecht;marcolamprecht;None;GA;GPA;30.11.2011;Deutschland;M;;302.5;155;285
Brita Fritsch;britafritsch;None;None;BVDK;29.03.2019;Deutschland;W;45;150;85;175
Marcel Vitz;marcelvitz;None;NRW;BVDK;01.12.2019;None;M;27;280;160;290
Roman Reinbold;romanreinbold;None;MV;BVDK;21.09.2018;Deutschland;M;45;278;210.5;280
Danny Schmalz;dannyschmalz;None;None;UPC-Germany;27.03.2015;Deutschland;M;;310;180;282.5
Johannes Frenkel;johannesfrenkel;None;None;BVDK;21.08.2022;None;M;;270;182.5;310
Stefan Weiß;stefanweiss;None;None;BVDK;21.08.2022;None;M;;220;175;250
Vincent Moll;vincentmoll;None;BY;BVDK;16.03.2019;Deutschland;M;20;230;152.5;270
Michael Zitzelsberger;michaelzitzelsberger;None;None;WUAP;17.06.2019;Deutschland;M;52;300;180;315
Viktor Heckel;viktorheckel;None;None;BVDK;29.09.2021;Deutschland;M;25;260;147.5;322.5
Teresa Grieger;teresagrieger;None;None;BVDK;21.08.2022;None;W;;165;80;185
Nik Schöner;nikschoner;None;None;BVDK;12.10.2017;None;M;21;262.5;178;280
Wladimir Litvinenko;wladimirlitvinenko;None;None;WUAP;17.10.2017;Deutschland;M;21;270;165;290
Hendrik Wobst;hendrikwobst1;None;None;BVDK;29.09.2021;Deutschland;M;24;282.5;160;287.5
Daniel Schimmel;danielschimmel;None;None;UPC-Germany;01.03.2017;Deutschland;M;;245;165;260
Franz Ritzer;franzritzer;None;None;WUAP;17.06.2019;Deutschland;M;47;255;172.5;305
Tobias Pahlke;tobiaspahlke;None;None;BVDK;29.09.2021;Deutschland;M;26;237.5;150;262.5
Julian Sieveke;juliansieveke;None;None;BVDK;19.09.2021;None;M;22;232.5;140;277.5
