name;openpl;instagram;Bundesland;Verband;Datum;Ort;Geschlecht;Alter;Squat;Bench;deadlift
Marcel Steins;marcelsteins;None;NRW;Germany-UA;04.10.2019;None;M;0;595.2;385.8;712.1
Christian Poppe;christianpoppe;None;None;Germany-UA;01.12.2008;Germany;M;28;683.4;462.9;727.5
Balsaitis Zygimantas;balsaitiszygimantas;None;None;WUAP-Germany;04.09.2021;None;M;27;595.2;435.4;705.4
Friedrich von Hennig;friedrichvonhennig;_mevsgravity_;None;IPF;23.09.2021;Germany;M;29;661.4;413.3;760.6
Helena Mariella Decker;helenamarielladecker;helena.mariella;None;IPF;31.08.2022;Germany;F;21;336.2;198.4;385.8
Anastasia Hein;anastasiahein;None;None;IPF;06.06.2022;Germany;F;28;330.7;192.9;385.8
Fabian Gerritzen;fabiangerritzen;power.physio;HH;Germany-UA;09.10.2016;Germany;M;29;551.1;297.6;705.4
Jan Bast;janbast;None;MV;BVDK;21.09.2018;Germany;M;40;584.2;496;611.7
Lea Schreiner;leaschreiner;baandita;None;BVDK;21.08.2022;Germany;F;27;391.3;223.7;465.1
Florian Heinrich;florianheinrich;None;None;BVDK;21.08.2022;None;M;23;595.2;385.8;628.3
Stefan Oesterle;stefanoesterle;None;None;Germany-UA;21.12.2013;Germany;M;31;529.1;429.9;639.3
Nicolai Rakowski;nicolairakowski;None;None;BVDK;19.09.2021;Germany;M;21;557.7;308.6;573.2
Robin Meineke;robinmeineke;robinmeineke;None;BVDK;21.08.2022;Germany;M;26;617.3;424.4;688.9
Lukas Hähnel;lukashahnel;None;BY;UPC-Germany;30.09.2017;None;M;23;694.4;429.9;628.3
Emily Finnern;emilyfinnern;liftingerdbeere;None;IPF;23.09.2021;Germany;F;20;330.7;237;341.7
Sonia Gonçalves Da Silva;soniagoncalvesdasilva;soniagotcalves;None;IPF;06.06.2022;Germany;F;25;374.8;203.9;429.9
Eric Hähnel;erichahnel;None;None;Germany-UA;09.12.2006;None;M;39;661.4;418.8;716.5
Roy Lotzwik;roylotzwik;lockout.lotzwik;None;BVDK;21.08.2022;None;M;24;606.2;391.3;628.3
Ingo Kunstmann;ingokunstmann;None;None;Germany-UA;01.12.2008;Germany;M;33;661.4;462.9;705.4
Sylvia Szarvas;sylviaszarvas;silviaszarvas;None;EPF;29.11.2019;Germany;F;35;391.3;286.6;440.9
Timo Jakobi;timojakobi;timo_jak;NRW;Germany-UA;04.10.2019;Germany;M;19;662.5;363.7;683.4
Kevin Koch;kevinkoch1;der_brocken;NRW;Germany-UA;04.10.2019;Germany;M;40;716.5;595.2;661.4
Sonja Stefanie Krüger;sonjastefaniekruger;sonja99krueger;None;BVDK;19.09.2021;None;F;21;397.9;238.1;380.3
Maximilian Zinner;maximilianzinner;None;None;BVDK;21.08.2022;None;M;27;622.8;407.8;677.9
Patrik Baboumian;patrikbaboumian;None;None;GPA;08.06.2012;Germany;M;32;661.4;440.9;727.5
Franziska Gattke;franziskagattke;None;None;UPC-Germany;03.10.2015;None;F;27;374.8;198.4;429.9
Sascha Roßkamp;sascharosskamp;iron.sascha;None;BVDK;29.09.2021;Germany;M;30;529.1;385.8;606.2
Daniel Meindl;danielmeindl;calvesinklein;None;BVDK;21.08.2022;None;M;28;556.6;358.2;606.2
Sebastian Ehmann;sebastianehmann;dominate_science_passion;BY;BVDK;20.10.2018;None;M;21;595.2;391.3;716.5
Stefan Pagelsen;stefanpagelsen;ste_fan_p;BY;BVDK;26.10.2019;Germany;M;27;529.1;380.3;662.5
Stephan Berger;stephanberger;None;NRW;BVDK;26.09.2020;None;M;22;639.3;330.7;727.5
Tim Daniel Konertz;timdanielkonertz;cpt_timmy;None;BVDK;29.03.2019;Germany;M;29;611.7;374.8;722
Mara Hames;marahames;None;None;BVDK;21.08.2022;Germany;F;24;385.8;209.4;407.8
Markus Köberle;markuskoberle;None;None;BVDK;10.04.2022;Germany;M;28;485;330.7;606.2
Gundula Fiona Sommer von Bachhaus;gundulafionasommervonbachhaus;None;None;Germany-UA;01.12.2008;Germany;F;27;303.1;259;440.9
Dominik Herr;dominikherr;akktraktion;BW;BVDK;18.12.2021;None;M;27;501.5;253.5;639.3
Tamara Thomsen;tamarathomsen;tamara.thomsen;None;IPF;14.06.2017;Germany;F;34;358.2;198.4;396.8
Simon Benzler;simonbenzler;None;None;Germany-UA;01.12.2008;Germany;M;0;716.5;402.3;755
Jewgenij Kondraschow;jewgenijkondraschow;None;None;Germany-UA;09.12.2006;Germany;M;0;672.4;440.9;738.5
Patricia Friedrich;patriciafriedrich;None;None;WUAP;09.10.2014;Germany;F;37;396.8;242.5;413.3
Martin Massat;martinmassat;smarmas;None;BVDK;21.08.2022;Germany;M;36;584.2;369.2;650.3
Lars Stöwesandt;larsstowesandt;None;None;UPC-Germany;01.03.2017;Germany;M;37;578.7;451.9;664.7
Sebastian Preine;sebastianpreine;None;None;BVDK;30.04.2021;Germany;M;26;485;308.6;617.3
Eva Butzen;evabutzen;None;None;BVDK;21.08.2022;Germany;F;29;407.8;225.9;468.4
Taras Tarasenko;tarastarasenko;None;NRW;BVDK;15.07.2022;None;M;39;639.3;440.9;694.4
Veronika Schulze;veronikaschulze;veromariie;None;BVDK;29.09.2021;Germany;F;23;359.3;220.4;363.7
Vincent Curth;vincentcurth;None;None;BVDK;25.10.2014;Germany;M;23;512.5;391.3;584.2
Melanie Wirtz;melaniewirtz;mellellell;NRW;Germany-UA;04.10.2019;Germany;F;22;347.2;209.4;440.9
Mark Traut;marktraut;mark_trt;None;BVDK;29.03.2019;Germany;M;24;589.7;347.2;661.4
Werner Torben;wernertorben;None;None;GPC;14.05.2012;Germany;M;0;573.2;418.8;661.4
Thomas Manogg;thomasmanogg;None;None;BVDK;21.08.2022;None;M;25;512.5;380.3;606.2
Maxim Schutan;maximschutan;maxim2894;NI;BVDK;01.06.2019;Germany;M;24;595.2;418.8;584.2
Marcus Lange;marcuslange;None;None;UPC-Germany;01.03.2017;Germany;M;31;595.2;429.9;617.3
Reinhold Blüml;reinholdbluml;None;None;WUAP;17.06.2019;Germany;M;47;639.3;396.8;606.2
Markus Patschke;markuspatschke;mpatschke45;None;BVDK;21.08.2022;Germany;M;34;650.3;462.9;683.4
Cathrin Monika Silberzahn;cathrinmonikasilberzahn;cathi.si;BY;BVDK;11.01.2020;Germany;F;31;352.7;242.5;407.8
Mareen Schmeelke;mareenschmeelke;None;None;BVDK;29.03.2019;Germany;F;27;304.2;171.9;347.2
Hannes Hahn;hanneshahn;None;None;BVDK;29.09.2021;None;M;23;551.1;358.2;672.4
Artur Dimmel;arturdimmel;None;NI;BVDK;24.07.2021;Germany;M;30;600.7;418.8;662.5
Kai Manfred Eckert;kaimanfredeckert;None;None;BVDK;30.10.2021;None;M;26;611.7;391.3;666.9
Timo Lieder;timolieder;None;None;BVDK;21.08.2022;Germany;M;30;595.2;468.4;611.7
Pascal Rothweiler;pascalrothweiler;None;NRW;Germany-UA;04.10.2019;None;M;29;578.7;363.7;606.2
Kevin Boateng;kevinboateng;None;NRW;BVDK;06.05.2017;Germany;M;24;551.1;352.7;666.9
Mario Maier;mariomaier;None;None;WUAP;17.06.2019;Germany;M;41;617.3;380.3;618.4
Wulf Kronemann;wulfkronemann;None;BB;BVDK;03.09.2011;None;M;43;672.4;485;672.4
Zygimantas Balsaitis;zygimantasbalsaitis;None;None;GPU;02.05.2022;Germany;M;29;584.2;352.7;705.4
Andreas Grillmeier;andreasgrillmeier;None;None;WUAP-Germany;06.05.2022;Germany;M;33;661.4;407.8;595.2
Philipp Gramlich;philippgramlich;None;None;EPF;21.03.2015;Germany;M;27;672.4;429.9;694.4
Jan Kobek;jankobek;jan_kobek;BY;BVDK;20.10.2018;Germany;M;22;533.5;314.1;641.5
Aaron Ben Bacha;aaronbenbacha;mojo.jojo06;BY;BVDK;16.03.2019;Germany;M;22;534.6;374.8;661.4
Marc Graser;marcgraser;None;None;Germany-UA;21.12.2013;None;M;39;584.2;396.8;672.4
Florian Henrichs;florianhenrichs;None;None;BVDK;19.09.2021;Germany;M;21;554.4;341.7;584.2
Özkan Savran;ozkansavran;None;None;PAGermany;30.04.2016;Germany;M;42;639.3;374.8;683.4
Ben Conrady;benconrady;None;BY;BVDK;16.03.2019;None;M;22;567.7;407.8;595.2
Tobias Kronmüller;tobiaskronmuller;None;None;BVDK;29.09.2021;None;M;23;529.1;374.8;661.4
Jaari Kristian Ott;jaarikristianott;der_ottler_;HH;Germany-UA;09.10.2016;Germany;M;23;551.1;396.8;639.3
Branimir Knez;branimirknez;None;None;BVDK;21.08.2022;None;M;29;567.7;341.7;655.8
Mike Schollbach;mikeschollbach;dynamitelifter;None;BVDK;29.03.2019;Germany;M;37;551.1;402.3;661.4
Charlotte Rühl;charlotteruhl;None;None;BVDK;21.08.2022;None;F;0;341.7;192.9;369.2
Stefan Pielorz;stefanpielorz;None;None;IPF;05.06.2015;Germany;M;40;672.4;451.9;694.4
Heiko Götz;heikogotz;None;MV;UPC-Germany;05.05.2018;Germany;M;0;639.3;496;617.3
M. Machus;mmachus;None;None;Germany-UA;01.01.1977;None;M;0;0;0;0
Max Schröder;maxschroder;None;None;UPC-Germany;31.03.2016;Germany;M;0;573.2;352.7;617.3
Fabian Dick;fabiandick;fabian.dick;None;GPU;31.07.2021;Germany;M;29;595.2;474;683.4
Brin Hasan;brinhasan;brin_hasan7;MV;BVDK;21.09.2018;Germany;M;29;666.9;429.9;705.4
Cesco Virzi;cescovirzi;None;None;Germany-UA;15.12.2012;None;M;29;529.1;380.3;595.2
Markus Hinz;markushinz;None;None;Germany-UA;09.12.2006;Germany;M;0;540.1;374.8;617.3
Paul Wartha;paulwartha;None;None;BVDK;29.09.2021;None;M;28;617.3;424.4;600.7
Angelos Hoikas;angeloshoikas;angelos_ho;BY;BVDK;15.02.2020;Germany;M;27;540.1;402.3;534.6
Lars Seifert;larsseifert;None;None;UPC-Germany;27.03.2015;Germany;M;34;666.9;385.8;573.2
Oliver Zamzow;oliverzamzow;None;None;BVDK;12.10.2017;Germany;M;39;584.2;358.2;694.4
Benedikt Wächter;benediktwachter;None;None;BVDK;29.09.2021;None;M;27;518.1;358.2;661.4
Damian Szwast;damianszwast;None;None;BVDK;21.08.2022;Germany;M;30;562.1;380.3;672.4
Gianluca Caputo;gianlucacaputo;None;NRW;BVDK;24.06.2022;None;M;31;435.4;314.1;595.2
Nikolaj Esipov;nikolajesipov;None;None;BVDK;12.10.2017;Germany;M;36;617.3;451.9;639.3
Maximilian Stock;maximilianstock;None;HE;BVDK;20.05.2022;Germany;M;29;496;352.7;606.2
Stefan Schultheiß;stefanschultheiss;None;None;WUAP-Germany;04.09.2021;Germany;M;25;573.2;407.8;595.2
Ivane Kobiashvili;ivanekobiashvili;None;None;WPC;14.11.2011;Germany;M;33;617.3;363.7;639.3
Kai Eckert;kaieckert;daubornbarbell;None;BVDK;29.09.2021;Germany;M;25;595.2;391.3;639.3
Dustin Ihmann;dustinihmann;None;NRW;BVDK;01.12.2019;None;M;25;672.4;457.4;666.9
Till Thomale;tillthomale;None;NRW;Germany-UA;04.10.2019;Germany;M;0;462.9;363.7;540.1
Carlo Gittermann;carlogittermann;None;MV;BVDK;21.09.2018;Germany;M;30;672.4;457.4;666.9
Pino de Tommaso;pinodetommaso;None;None;WUAP-Germany;06.05.2022;Germany;M;31;573.2;391.3;595.2
Yannik Wenz;yannikwenz;None;None;WDFPF;25.10.2019;Germany;M;28;518.1;352.7;639.3
Daniel Acosta Florido;danielacostaflorido;None;None;WPC;26.10.2013;Germany;M;20;584.2;424.4;672.4
Bernhard Klinger;bernhardklinger;None;None;BVDK;29.03.2019;Germany;M;28;523.6;402.3;617.3
Koray Yalcin;korayyalcin;None;NRW;Germany-UA;09.11.2018;None;M;0;462.9;308.6;595.2
Žygimantas Augustas Balšaitis;zygimantasaugustasbalsaitis;None;NRW;WPC-Germany;04.09.2020;None;M;0;551.1;424.4;661.4
Justin Soerensen;justinsoerensen;None;None;BVDK;30.04.2021;None;M;27;551.1;374.8;617.3
Amandine Lamare;amandinelamare;_dwidwine;None;BVDK;21.08.2022;None;F;25;369.2;220.4;374.8
Andy-Elvis Dörner;andyelvisdorner;None;None;Germany-UA;01.12.2005;Germany;M;0;672.4;424.4;639.3
Justin Sörensen;justinsorensen;None;None;BVDK;29.09.2021;None;M;27;551.1;374.8;617.3
Harald Kraft;haraldkraft;None;None;UPC-Germany;01.03.2017;None;M;0;661.4;402.3;699.9
Jan Fleckenstein;janfleckenstein;None;None;WUAP;17.10.2017;Germany;M;25;573.2;457.4;606.2
Jonas Homscheid;jonashomscheid;None;NRW;WPC-Germany;04.09.2020;Germany;M;22;551.1;303.1;617.3
Kay Milde;kaymilde;None;SN;UPC-Germany;08.03.2018;Germany;M;40;529.1;347.2;639.3
Alexander Khounani;alexanderkhounani;None;BB;BVDK;16.09.2016;Germany;M;23;485;325.1;534.6
Kacar Bucar;kacarbucar;None;None;UPC-Germany;27.03.2015;None;M;0;551.1;474;661.4
Mario Stöger;mariostoger;None;None;WUAP;05.10.2016;Germany;M;0;617.3;418.8;617.3
Hagen Rokahr;hagenrokahr;None;None;UPC-Germany;01.03.2017;None;M;0;661.4;385.8;595.2
Christian Flueras;christianflueras;None;BY;BVDK;20.10.2018;Germany;M;22;573.2;404.5;617.3
Michael Sommer;michaelsommer;None;NV;WPC;06.11.2012;Germany;M;24;661.4;485;639.3
Friederike Hoppe;friederikehoppe;coronaschwester;None;BVDK;29.03.2019;Germany;F;34;347.2;227;396.8
Lukas Markmeyer;lukasmarkmeyer;luke_xm;BY;BVDK;16.03.2019;Germany;M;22;451.9;308.6;590.8
Thomas Klumbies;thomasklumbies;None;None;BVDK;21.08.2022;None;M;25;578.7;391.3;650.3
Marnn Engel;marnnengel;None;None;UPC-Germany;01.03.2017;None;M;0;529.1;396.8;573.2
Niklas Lapinske;niklaslapinske;None;None;BVDK;21.08.2022;Germany;M;25;573.2;369.2;672.4
Lukas Hähnnel;lukashahnnel;None;HE;Germany-UA;17.12.2016;None;M;22;595.2;396.8;639.3
Sandra Augustiniok;sandraaugustiniok;None;None;BVDK;19.09.2021;Germany;F;22;341.7;205;358.2
Percy Covic;percycovic;None;None;BVDK;19.09.2021;None;M;20;639.3;407.8;644.8
Florian Luxenburger;florianluxenburger;None;None;BVDK;10.04.2022;Germany;M;30;556.6;391.3;647
Tobias Strömel;tobiasstromel;None;None;BVDK;21.08.2022;Germany;M;32;540.1;330.7;573.2
Friedhelm Hill;friedhelmhill;None;BY;GDFPF;13.10.2018;None;M;35;639.3;451.9;617.3
Nino Häbel;ninohabel;None;HH;Germany-UA;01.09.2017;None;M;0;567.7;418.8;661.4
Burak Kacar;burakkacar;None;None;UPC-Germany;31.03.2016;Germany;M;25;507;474;650.3
Aleksandr Florov;aleksandrflorov;None;NVS;FPR;04.12.2018;Germany;M;22;562.1;407.8;644.8
Matthias Kuchelmeister;matthiaskuchelmeister;None;None;BVDK;21.08.2022;None;M;32;540.1;396.8;666.9
Ott Jaari;ottjaari;None;HH;Germany-UA;01.09.2017;None;M;0;523.6;396.8;606.2
Sascha Honsel;saschahonsel;None;HE;Germany-UA;14.12.2019;None;M;31;573.2;396.8;661.4
Marco Lamprecht;marcolamprecht;None;GA;GPA;30.11.2011;Germany;M;0;666.9;341.7;628.3
Brita Fritsch;britafritsch;None;None;BVDK;29.03.2019;Germany;F;45;330.7;187.4;385.8
Marcel Vitz;marcelvitz;None;NRW;BVDK;01.12.2019;None;M;27;617.3;352.7;639.3
Roman Reinbold;romanreinbold;None;MV;BVDK;21.09.2018;Germany;M;45;612.9;464;617.3
Danny Schmalz;dannyschmalz;None;None;UPC-Germany;27.03.2015;Germany;M;0;683.4;396.8;622.8
Johannes Frenkel;johannesfrenkel;None;None;BVDK;21.08.2022;None;M;0;595.2;402.3;683.4
Stefan Weiß;stefanweiss;None;None;BVDK;21.08.2022;None;M;0;485;385.8;551.1
Vincent Moll;vincentmoll;None;BY;BVDK;16.03.2019;Germany;M;20;507;336.2;595.2
Michael Zitzelsberger;michaelzitzelsberger;None;None;WUAP;17.06.2019;Germany;M;52;661.4;396.8;694.4
Viktor Heckel;viktorheckel;None;None;BVDK;29.09.2021;Germany;M;25;573.2;325.1;711
Teresa Grieger;teresagrieger;None;None;BVDK;21.08.2022;None;F;0;363.7;176.3;407.8
Nik Schöner;nikschoner;None;None;BVDK;12.10.2017;None;M;21;578.7;392.4;617.3
Wladimir Litvinenko;wladimirlitvinenko;None;None;WUAP;17.10.2017;Germany;M;21;595.2;363.7;639.3
Hendrik Wobst;hendrikwobst1;None;None;BVDK;29.09.2021;Germany;M;24;622.8;352.7;633.8
Daniel Schimmel;danielschimmel;None;None;UPC-Germany;01.03.2017;Germany;M;0;540.1;363.7;573.2
Franz Ritzer;franzritzer;None;None;WUAP;17.06.2019;Germany;M;47;562.1;380.3;672.4
Tobias Pahlke;tobiaspahlke;None;None;BVDK;29.09.2021;Germany;M;26;523.6;330.7;578.7
Julian Sieveke;juliansieveke;None;None;BVDK;19.09.2021;None;M;22;512.5;308.6;611.7
Peter Schmidt;peterschmidt;None;NRW;BVDK;15.07.2022;Germany;M;47;540.1;330.7;551.1
Saadi Zierl;saadizierl;None;None;BVDK;29.03.2019;Germany;M;25;474;308.6;540.1
Felix Jentzsch;felixjentzsch;None;None;WUAP-Germany;04.09.2021;Germany;M;22;584.2;330.7;540.1
Felix Pietzschke;felixpietzschke;None;None;BVDK;30.04.2021;None;M;26;595.2;402.3;661.4
Jonas Mockwitz;jonasmockwitz;None;None;BVDK;29.09.2021;None;M;23;666.9;435.4;683.4
Jörg Müller;jorgmuller;None;BB;BVDK;03.09.2011;Germany;M;44;490.5;292.1;540.1
Jeffrey Poszuweit;jeffreyposzuweit;None;NRW;Germany-UA;04.10.2019;None;M;0;485;407.8;507
Christopher Röper;christopherroper;None;NRW;Germany-UA;09.11.2018;Germany;M;31;567.7;413.3;622.8
Lucas Hügerich;lucashugerich;farmerstrength;BY;BVDK;12.05.2018;Germany;M;23;629.4;375.9;589.7
Gregor Loosen;gregorloosen;None;None;BVDK;12.10.2017;Germany;M;31;622.8;396.8;661.4
Pia Jacqueline Ruschke;piajacquelineruschke;None;HE;BVDK;20.05.2022;None;F;17;353.8;181.8;399
Moritz Taschner;moritztaschner;None;BY;BVDK;30.04.2022;Germany;M;19;628.3;462.9;699.9
Julia Kunzner;juliakunzner;julia.kunzner.powerlifting;NRW;Germany-UA;04.10.2019;Germany;F;0;330.7;198.4;374.8
Eduard Tepper;eduardtepper;None;None;BVDK;29.03.2019;Germany;M;39;474;363.7;578.7
Philipp Illgen;philippillgen;None;NRW;Germany-UA;04.10.2019;Germany;M;23;529.1;352.7;606.2
Andreas Bracht;andreasbracht;None;MOW;BB;14.05.2010;Germany;M;27;595.2;435.4;551.1
Otto Grasser;ottograsser;None;None;UPC-Germany;27.03.2015;Germany;M;37;584.2;330.7;573.2
Marc Benzler;marcbenzler;None;None;Germany-UA;09.12.2006;None;M;0;523.6;374.8;507
Steffen Szameit;steffenszameit;None;NRW;BVDK;12.10.2019;Germany;M;29;551.1;369.2;661.4
Hauke Heß;haukehess;None;None;BVDK;21.08.2022;Germany;M;28;512.5;385.8;595.2
Marina Lemenovskaya;marinalemenovskaya;None;None;GPA;05.12.2013;Germany;F;27;264.5;209.4;341.7
Romano Rengel;romanorengel;None;None;UPC-Germany;31.03.2016;Germany;M;25;573.2;396.8;573.2
Sascha Calleger;saschacalleger;None;None;BVDK;29.03.2019;Germany;M;35;523.6;374.8;595.2
Dominik Barth;dominikbarth;None;None;GPU;02.05.2022;Germany;M;30;440.9;281.1;496
Greta Kündgen;gretakundgen;None;HE;BVDK;20.05.2022;None;F;21;303.1;185.2;342.8
Benjamin Heide;benjaminheide;None;NRW;BVDK;24.06.2022;None;M;23;562.1;330.7;611.7
Bianca Decker;biancadecker;None;None;GPC;26.05.2018;Germany;F;32;319.6;187.4;352.7
Marcus Böttger;marcusbottger;None;BB;BVDK;15.09.2012;Germany;M;22;584.2;380.3;622.8
Jana Hockenberger;janahockenberger;None;None;BVDK;21.08.2022;Germany;F;25;347.2;214.9;369.2
Manh Hung Nguyen;manhhungnguyen;None;NI;BVDK;16.11.2019;None;M;33;440.9;292.1;490.5
Lukas Gärtner;lukasgartner;i.am.gee;BW;BVDK;18.12.2021;Germany;M;24;672.4;407.8;683.4
Markus Heitkamp;markusheitkamp;None;None;BVDK;21.08.2022;Germany;M;28;518.1;314.1;584.2
Patrick Ohleff;patrickohleff;None;None;UPC-Germany;01.03.2017;Germany;M;35;639.3;418.8;661.4
Semih Aygün;semihaygun;None;BW;BVDK;18.12.2021;None;M;19;507;386.9;595.2
Andreas Hain;andreashain;None;None;BVDK;21.08.2022;None;M;24;573.2;319.6;595.2
Helmut Purwanto;helmutpurwanto;None;NRW;BVDK;15.07.2022;None;M;42;573.2;380.3;606.2
Marcel Tauche;marceltauche;None;None;UPC-Germany;01.03.2017;Germany;M;25;557.7;319.6;529.1
Torben Werner;torbenwerner;None;None;Germany-UA;17.12.2011;Germany;M;0;518.1;374.8;661.4
Patrick Schiffner;patrickschiffner;None;None;BVDK;12.10.2017;Germany;M;38;474;342.8;490.5
Lea Kannowsky;leakannowsky;strongleali;NRW;Germany-UA;04.10.2019;Germany;F;0;275.5;181.8;336.2
Dominik Pahl;dominikpahl;power.pahl;BB;BVDK;16.09.2016;Germany;M;24;589.7;407.8;639.3
Lea De Fries;leadefries;None;None;BVDK;21.08.2022;None;F;24;369.2;209.4;396.8
René Ullerich;reneullerich;None;None;BVDK;29.03.2019;Germany;M;40;584.2;374.8;606.2
Tom Milsch;tommilsch;None;None;BVDK;14.08.2021;None;M;27;485;308.6;606.2
Florian Schnurpfeil;florianschnurpfeil;None;None;BVDK;19.09.2021;None;M;22;551.1;374.8;644.8
Dominik Fey;dominikfey;None;BW;BVDK;18.12.2021;Germany;M;29;490.5;275.5;639.3
Andreas Hock;andreashock;None;None;GPU;02.05.2022;Germany;M;29;462.9;297.6;600.7
Felix Wagner;felixwagner;felix.wgnr98;BW;BVDK;22.09.2019;Germany;M;21;534.6;358.2;600.7
Olaf Brandl;olafbrandl;None;NRW;BVDK;09.09.2017;Germany;M;46;485;462.9;551.1
Paul Matulewicz;paulmatulewicz;None;None;Germany-UA;01.12.2009;None;M;0;584.2;407.8;639.3
Juliane Bosse;julianebosse;deadliftprinzessin;SN;BVDK;10.10.2020;None;F;26;385.8;209.4;413.3
Michael Schmidt;michaelschmidt;None;None;GPC;18.10.2021;Germany;M;51;462.9;319.6;529.1
Marco Paulsen;marcopaulsen;None;NI;BVDK;16.11.2019;None;M;24;529.1;347.2;617.3
Alina Rudolph;alinarudolph;None;None;BVDK;19.09.2021;None;F;19;313;132.2;314.1
Johannes Reuter;johannesreuter;None;None;BVDK;19.09.2021;Germany;M;23;573.2;325.1;677.9
Nikita Galenko;nikitagalenko;None;None;WUAP-Germany;06.05.2022;Germany;M;22;661.4;407.8;639.3
Eduard Eida;eduardeida;None;None;EPF;29.11.2019;Germany;M;18;457.4;341.7;507
Timm Schinabeck;timmschinabeck;None;None;BVDK;21.08.2022;None;M;0;584.2;385.8;584.2
Dennis Pusikow;dennispusikow;None;None;UPC-Germany;27.03.2015;None;M;22;573.2;369.2;584.2
Sercan Kuzu;sercankuzu;None;None;GPU;01.02.2020;Germany;M;30;485;396.8;716.5
