name;instagram;Bundesland;Verband;Datum;Ort;Geschlecht;Alter;Squat;Bench;deadlift
Andreas Hock;None;None;GPU;02.05.2022;Deutschland;M;29;210;135;272,5
Felix Wagner;felix.wgnr98;BW;BVDK;22.09.2019;Deutschland;M;21;242,5;162,5;272,5
Olaf Brandl;None;NRW;BVDK;09.09.2017;Deutschland;M;46~;220;210;250
Paul Matulewicz;None;None;Germany-UA;01.12.2009;None;M;;265;185;290
Juliane Bosse;deadliftprinzessin;SN;BVDK;10.10.2020;None;W;26;175;95;187,5
Michael Schmidt;None;None;GPC;18.10.2021;Deutschland;M;51;210;145;240
Marco Paulsen;None;NI;BVDK;16.11.2019;None;M;24;240;157,5;280
Alina Rudolph;None;None;BVDK;19.09.2021;None;W;19~;142;60;142,5
Johannes Reuter;None;None;BVDK;19.09.2021;Deutschland;M;23;260;147,5;307,5
Nikita Galenko;None;None;WUAP-Germany;06.05.2022;Deutschland;M;22~;300;185;290
Eduard Eida;None;None;EPF;29.11.2019;Deutschland;M;18;207,5;155;230
Timm Schinabeck;None;None;BVDK;21.08.2022;None;M;;265;175;265
Dennis Pusikow;None;None;UPC-Germany;27.03.2015;None;M;22;260;167,5;265
Sercan Kuzu;None;None;GPU;01.02.2020;Deutschland;M;30;220;180;325
Sandra Emonts;None;BY;BVDK;30.09.2017;Deutschland;W;29;135;80;175
Fabian Gaebel;None;NRW;BVDK;01.06.2019;None;M;27~;245;162,5;295
Viktor Beilmann;None;HH;Germany-UA;01.09.2017;Deutschland;M;20;210;132,5;257,5
Friedrich Mockenhaupt;None;HE;Germany-UA;15.12.2018;None;M;29;250;180;300
Alexander Lex;gyumao_;None;BVDK;21.08.2022;None;M;27~;265;170;275
Philipp Schweda;None;None;BVDK;12.10.2017;Deutschland;M;25;262,5;152,5;260
Lolita Zankl;None;None;WPC;11.06.2019;Deutschland;W;60;115;120;180
Daniel Untermayer;None;HE;BVDK;20.05.2022;Deutschland;M;25;212,5;120;255
Yosef Aziz;None;HH;Germany-UA;01.09.2017;Deutschland;M;18;170;112,5;220
Marko Piyadeth Krause;None;None;BVDK;29.03.2019;Deutschland;M;30~;235;180;250
Anna Cirmon;_anna_bol_;None;BVDK;21.08.2022;None;W;26~;142,5;75;167,5
Dimitri Yesipovich;None;NI;BVDK;16.11.2019;Deutschland;M;27;275;165;300
Jürgen Papst;None;None;Germany-UA;09.12.2006;None;M;;220;190;275
Sebastian Kaindl;wuchtinger;BY;BVDK;27.10.2018;Deutschland;M;36;250;171,5;285
Semih Ugur;None;NRW;Germany-UA;04.10.2019;Deutschland;M;23;205;150;240
Alexander Brück;alexbrueck;None;BVDK;21.08.2022;None;M;36;252,5;192,5;265
Claudia Forster;None;None;Germany-UA;21.12.2013;Deutschland;W;27;152,5;90;202,5
Sebastian Schmaußer;None;BY;BVDK;14.12.2019;Deutschland;M;25;230;150;252,5
Christoph Stürmer;None;None;WDFPF;17.11.2007;Deutschland;M;20~;215;132,5;277,5
Verena Grimm;None;HE;BVDK;20.05.2022;None;W;26~;145;92,5;172,5
Fynn Klöpper;None;NRW;BVDK;24.06.2022;Deutschland;M;25;245;132,5;270
Hugo Duarte;fullhdlifting;BB;BVDK;16.09.2016;Deutschland;M;25~;262,5;145;285
Pascal Schütze;None;None;BVDK;21.08.2022;None;M;28;217,5;157,5;210
Jonas Riker;None;None;BVDK;29.09.2021;None;M;32;235;155;275
Stefan Schultheis;None;None;WUAP;13.06.2017;Deutschland;M;21;250;165;255
Florian Dorfner;None;None;EPF;09.03.2020;Deutschland;M;41~;220;137,5;230
Patrick Rieger;None;BY;BVDK;20.10.2018;Deutschland;M;22;180;122,5;232,5
Shirin Kern;None;None;BVDK;29.09.2021;None;W;23~;125;85;185,5
Aaron Weiß;None;MV;BVDK;21.09.2018;Deutschland;M;26;240;145;285
Eric Hinzpeter;None;HH;Germany-UA;01.09.2017;Deutschland;M;27~;235;145;260
Dominik Boras;None;None;BVDK;29.09.2021;Deutschland;M;25;245;192,5;262,5
Christian Horn;None;BB;BVDK;16.09.2016;Deutschland;M;22~;232,5;137,5;265
Abigail Looi;None;NRW;BVDK;26.09.2020;None;W;24~;160;87,5;167,5
Lars Hoheisel;None;SN;UPC-Germany;08.03.2018;None;M;;250;205;275
Maximilian Tischler #1;None;BY;BVDK;23.10.2021;None;M;29~;230;140;257,5
Kevin Hesse;None;None;WUAP;17.10.2017;Deutschland;M;20;250;147,5;260
Jan Smolczyk;None;None;Germany-UA;09.12.2006;Deutschland;M;36;207,5;175;270
Henrik Wobst;None;None;EPF;14.09.2018;Deutschland;M;20~;262,5;145;262,5
Thorsten Strehlau;None;NRW;BVDK;15.07.2022;None;M;45;225;175;270
Marlies Götze;None;None;WUAP;05.10.2016;Deutschland;W;26;175;87,5;172,5
Clemens Lück;None;None;WUAP-Germany;06.05.2022;Deutschland;M;30~;207,5;135;245
René Hüsing;None;None;BVDK;21.08.2022;None;M;23~;225;122,5;240
Igor Nemtsov;None;BB;BVDK;12.09.2015;Deutschland;M;32~;275;185;280
Brin Hassan;None;None;BVDK;08.02.2020;None;M;32;285;180;300
Alexej Zinurov;None;NI;BVDK;22.08.2015;Deutschland;M;27;240;180;250
Richard Kielmann;None;NRW;Germany-UA;04.10.2019;Deutschland;M;;280;172,5;310
Maik Pister;None;HE;BVDK;20.05.2022;None;M;23~;250;165;285
Matthias Bekavac;None;NRW;BVDK;25.04.2015;Deutschland;M;31~;240;175;290
Daniel Rauschenbach;rauschen_bach;None;OEVK;08.08.2020;Deutschland;M;28;260;185;270
Raban Sidon;None;HE;BVDK;20.05.2022;Deutschland;M;24;237,5;142,5;285
Markus Heitkampf;None;BY;BVDK;23.10.2021;None;M;;215;145;270
Ringo Riedel;None;None;WPF;02.11.2018;Deutschland;M;36;230;160;235
Esmail Shokohi;None;None;WDFPF;25.10.2019;Deutschland;M;38;290;185;280
Dimitrij Feldstein;None;None;IPL;18.10.2019;Deutschland;M;28;260;220;270
Leonard Hell;None;NRW;BVDK;24.06.2022;None;M;29;240;162,5;262,5
Axel Kujat;None;None;WPU;01.01.2019;Deutschland;M;31;220;190,5;245
Steffen Hackbart;None;None;WPC;26.10.2013;Deutschland;M;29;215;160;215
Barbara Beil;None;None;BVDK;29.09.2021;Deutschland;W;28;106,5;62,5;152,5
