name;instagram;Bundesland;Verband;Datum;Ort;Geschlecht;Alter;Squat;Bench;deadlift
Jonas Mertin;None;NRW;BVDK;01.12.2019;None;M;25~;167,5;110;175
Hamidreza Jadali;None;MV;BVDK;08.09.2018;Deutschland;M;20~;130;90;145
Andreas Schmitt;None;BW;BVDK;29.04.2017;None;M;51~;140;117,5;175
R. Pohl;None;QC;WPFG;26.06.2005;Deutschland;M;;;197,5;250
Hartmut Grulke;None;None;BVDK;30.09.2017;Deutschland;M;65;165;115;175
Ciro Alaia;None;None;WPF;13.10.2016;Deutschland;M;15;130;90;200
Katja Haindl;katidiary_;BY;BVDK;12.05.2018;Deutschland;W;24;85;50;100
Manuel Lusch;None;None;BVDK;10.04.2022;Deutschland;M;29~;135;87,5;175
Dominik Tetsch;None;TH;BVDK;11.05.2019;None;M;17~;150;107,5;150
Maya Avalos;None;None;GPU;02.05.2022;Deutschland;W;26;92,5;42,5;110
Niklas Schöffe;None;BY;BVDK;27.07.2019;None;M;21~;145;90;185
Elena Sverdlova;None;BB;BVDK;15.06.2019;None;W;51~;105;65;140
Patricia Windl;None;None;GDFPF;26.03.2016;None;W;21;75;40;110
Saskia Weidenbacher;schwarzlich.t;None;BVDK;15.10.2016;None;W;29;110;52,5;137,5
Ferdinand Beck;None;HH;Germany-UA;09.10.2016;None;M;;145;87,5;190
Wolfgang Fischer;None;None;WPU;11.10.2016;Deutschland;M;;110;140;175
Marius Laudenbach;None;TH;BVDK;30.11.2019;None;M;17;130;107,5;162,5
Richard Zeltner;None;None;GRAWA;10.09.2011;None;M;;230;;240
Guido Wiesner;None;BW;BVDK;18.12.2021;None;M;58~;115;95;140,5
Anja Klinger;None;NRW;BVDK;15.07.2022;None;W;43;105;75;110
Niklas Litzinger;None;NRW;BVDK;09.12.2017;Deutschland;M;;187,5;95;160
Katharina Wedel;None;BY;BVDK;03.08.2019;None;W;20~;95;57,5;117,5
Rino Beuter;None;ST;BVDK;10.10.2015;None;M;15;105;70;140
Clara Nolte;None;None;BVDK;12.10.2017;Deutschland;W;16~;115;67,5;122,5
Tim Hajo Paltinat;None;None;BVDK;11.05.2019;Deutschland;M;18~;127,5;95;152,5
Alex Reichert;None;BY;UPC-Germany;30.09.2017;None;M;;132,5;90;165
Andreas Dietsch;None;None;UPC-Germany;03.10.2015;None;M;;130;100;170
Elia Scaramuzza;None;NRW;BVDK;24.06.2022;None;M;30;130;90;137,5
Leonard Roth;None;None;Germany-UA;21.12.2013;None;M;19;145;100;160
Pascal Schaar;None;NI;BVDK;01.06.2019;None;M;20~;152,5;92,5;160
David Damke;None;BW;BVDK;22.09.2019;None;M;;160;107,5;200
Johannes Hauf;None;None;WUAP;17.06.2019;Deutschland;M;19;170;100;175
Simon Strauß;None;HE;Germany-UA;14.12.2019;None;M;23;150;90;180
Nick-Julien Ebisch;None;None;BVDK;28.04.2019;None;M;21;122,5;112,5;167,5
Boris Pichotka;None;None;LGBT;20.07.2019;Deutschland;M;;182,5;107,5;200
Katharina Saro;None;None;Germany-UA;09.12.2006;None;W;;90;60;120
Tobias Burkart;None;HE;BVDK;20.05.2022;None;M;36;140;110;175
Shjil Raza;None;SH;UPC-Germany;20.10.2018;None;M;;162,5;135;210
Adnan Choudhry;None;HE;BVDK;15.08.2020;Deutschland;M;15;140;90;170
Matthias Schweitzer;None;None;Germany-UA;01.12.2008;None;M;;120;95;150
Patrick Jaksetic;None;HE;Germany-UA;17.12.2016;None;M;17;125;90;170
Franziska Riessler;None;ST;BVDK;02.11.2019;None;W;31~;110;62,5;120
Robert Noack;None;BB;BVDK;23.06.2018;Deutschland;M;15;115;80;160
Sandy Scheibe;None;SN;BVDK;10.10.2020;None;W;22~;95;47,5;125
Oliver Eisenbarth;None;None;Germany-UA;15.12.2012;None;M;32;150;110;160
Manfred Geipel;None;SN;BVDK;24.11.2018;Deutschland;M;63;122,5;95;157,5
Leon Wiese;None;None;Germany-UA;19.12.2015;None;M;20;150;100;175
Juliane Stahl;None;None;BVDK;21.08.2022;None;W;28;85;60;120
Lilith Bender;None;BY;BVDK;16.03.2019;Deutschland;W;15~;120;65;125
Andre Barros da Silva;None;HE;Germany-UA;14.12.2019;None;M;26;175;95;185
Sara Perlstein;None;HE;Germany-UA;17.12.2016;None;W;28;107,5;65;130
Jan Röhrbein;None;NRW;BVDK;10.10.2021;None;M;30~;145;100;180
Anna Jaglarz;None;NRW;BVDK;09.12.2018;None;W;25;95;47,5;107,5
Michaela Malcomess;None;HE;BVDK;27.09.2014;None;W;21;102,5;60;120
Louisa Sieber;None;BY;BVDK;12.05.2018;Deutschland;W;15~;77,5;45;100
Sandra Eisenblatt;None;HE;BVDK;12.05.2018;Deutschland;W;22;85;50;117,5
Andre Böckmann;None;HE;Germany-UA;17.12.2016;None;M;21;120;90;182,5
Adrianna Nozownik;None;NRW;BVDK;01.12.2019;None;W;23;85;50;127,5
Diana Deutschbein;None;None;Germany-UA;01.12.2009;None;W;;70;55;135
Phillip Plessing;None;None;Germany-UA;01.12.2009;None;M;;125;80;165
Rudolf Berndt;None;BB;BVDK;03.09.2011;None;M;57~;130;95;150
Lukáš Seifert;None;NI;BVDK;28.04.2018;Deutschland;M;15~;150;97,5;155
Anna Zurakowsky de Sas;None;None;Germany-UA;17.12.2011;None;W;;70;65;120
Vivien Anne Hoppe;None;NI;BVDK;09.04.2016;None;W;23;82,5;50;120
Jenny Loth;None;NRW;Germany-UA;04.10.2019;None;W;;92,5;52,5;105
Matthias Schweizer;None;None;Germany-UA;01.12.2009;None;M;43;115;100;155
Petra Dietmayr;None;BY;BVDK;12.05.2018;Deutschland;W;50~;80;57,5;130
Franziska Dittes;None;None;BVDK;09.02.2019;None;W;23;95;50;107,5
Achim Stöffler;None;HE;BVDK;30.11.2013;None;M;64;157,5;82,5;175
Alexander Voigt;None;BB;BVDK;12.09.2015;Deutschland;M;16;127,5;120;175
Niklas Brust;None;HH;Germany-UA;09.10.2016;None;M;;122,5;87,5;162,5
Anja Reinhold;None;HH;Germany-UA;09.10.2016;None;W;;92,5;35;102,5
Antonia Verena Fehn;None;None;BVDK;19.09.2021;Deutschland;W;22;87,5;52,5;120
Michele Di Girolano;None;None;Germany-UA;15.12.2012;None;M;22;110;97,5;185
Marlen Watson;None;None;GPU;02.05.2022;Deutschland;W;43;90;47,5;125
Alatiya Yasin;None;None;WPF;02.11.2018;Deutschland;M;17;140;82,5;170
Matthias Rauber;None;HE;Germany-UA;17.12.2016;None;M;22;150;92,5;155
Michael Rosenfeld;None;None;WPU;01.01.2019;Deutschland;M;53;135;120;180
Achim Wendlandt;None;BB;BVDK;23.06.2018;Deutschland;M;57;100;95;120
Astrid Ottmann;None;HE;BVDK;12.05.2018;Deutschland;W;43;87,5;50;107,5
Stella Rieksmeier;None;NRW;BVDK;09.12.2018;None;W;;95;50;105
Herbert Leser;None;None;WPF;19.06.2015;Deutschland;M;53;150;110;175
Christian Ocker;None;NRW;BVDK;27.04.2013;None;M;;132,5;95;155
Dominik Lastavec;None;BW;BVDK;22.09.2019;None;M;17~;130;75;140
Henning Albrecht;None;HH;Germany-UA;01.09.2017;None;M;;135;97,5;180
Steffi Dörmann;None;HH;Germany-UA;01.09.2017;None;W;;75;52,5;115
Dennis Klemm;None;BE;Germany-UA;05.10.2015;None;M;;125;67,5;170
Michaela Cortes Margarionos;None;None;BVDK;30.04.2021;None;W;39~;77,5;52,5;105
Angelika Semke;None;None;PAGermany;28.04.2017;Deutschland;W;22;85;50;112,5
Sebastian Reijman;None;NRW;BVDK;27.08.2016;Deutschland;M;18~;130;95;175
Nils Toska;None;None;BVDK;10.04.2022;Deutschland;M;17~;155;60;182,5
Thorsten Späth;None;BW;BVDK;29.04.2017;None;M;40~;140;117,5;165
Christian Strobel;None;None;GDFPF;02.03.2014;Deutschland;M;23;140;95;160
Martin Wesierski;None;None;BVDK;30.09.2017;None;M;19;120;85;152,5
Harald Gräbner;None;BY;BVDK;14.12.2019;None;M;41~;135;95;180
Magdalena Reiss;None;SN;BVDK;29.04.2017;None;W;18~;80;45;105
Sievers Tilman;None;HE;Germany-UA;14.04.2019;None;M;16;155;100;180
Sebastian Klemm;None;NRW;BVDK;13.07.2013;None;M;30~;165;92,5;175
Madeleine Melzer;None;BY;BVDK;12.05.2018;Deutschland;W;25~;90;42,5;100
Lukas Uslu;None;NRW;BVDK;26.09.2020;None;M;18~;107,5;92,5;170
Paula Presche;None;BY;BVDK;12.05.2018;Deutschland;W;22~;102,5;55;110
Fabien-Andre Klein;None;NRW;BVDK;09.12.2018;None;M;;120;85;150
Josef Weiß;None;None;EPF;06.03.2018;Deutschland;M;63~;142,5;85;190
Karl-Heinz May;None;BB;BVDK;16.09.2016;Deutschland;M;62~;120;160;200
Katharina Winter;None;NRW;BVDK;01.12.2019;None;W;37;120;62,5;140
Michael Lütge;None;None;GRAWA;10.09.2011;None;M;;230;;250
Julia Bergmann;None;None;BVDK;12.10.2017;None;W;19;80;42,5;130
Hanna Obermeier;None;BY;BVDK;27.10.2018;None;W;19~;90;50;110
Martin Holfeld;None;HE;BVDK;20.05.2022;None;M;58~;125;100;140
Francesca Palmiotto;None;NRW;Germany-UA;04.10.2019;None;W;21;107,5;65;105
Marius Buchwald;None;None;BVDK;12.10.2017;None;M;18~;140;95;182,5
Claudia Reinbold;None;HE;BVDK;15.08.2020;Deutschland;W;47;85;52,5;120
Joachim Löw;None;HE;BVDK;20.05.2022;None;M;58;140;140;160
Dorothee Weßling;None;HE;BVDK;27.09.2014;None;W;44;90;52,5;105
Karolina Gerferz;None;NRW;BVDK;06.05.2017;Deutschland;W;;85;50;112,5
Patrick Hartung;None;BB;BVDK;14.06.2014;Deutschland;M;19;100;120;120
Sarah Hoffmann;None;None;GPU;02.05.2022;Deutschland;W;25;90;55;100
Mario Albrecht;None;NRW;Germany-UA;09.11.2018;None;M;;145;102,5;157,5
Lukas Schütterle;None;BW;BVDK;18.12.2021;Deutschland;M;25~;90;77,5;135
Rabiya Abazi;None;BY;GDFPF;13.10.2018;None;W;26;97,5;42,5;122,5
Raoul Levin Korbjuhn;None;HE;BVDK;20.05.2022;None;M;19~;145;95;175
Lukas Teisakowski;None;None;GDFPF;05.04.2015;None;M;18;150;100;200
Judith Höpfner;None;None;BVDK;12.10.2017;Deutschland;W;22;87,5;65;100
Ohle Olaf Schmugge;None;BB;BVDK;16.09.2016;Deutschland;M;51;140;135;200
Markus Höberle;None;None;GRAWA;10.09.2011;None;M;;142,5;;202,5
Thorben Heinle;None;NRW;BVDK;08.09.2018;Deutschland;M;;140;92,5;170
Andreas Proske;None;BW;BVDK;22.09.2019;None;M;;150;92,5;170
Sebastian Förster;None;BB;BVDK;03.09.2011;None;M;24~;130;90;165
Julia Wolfschmitt;None;None;GDFPF;26.03.2016;None;W;21;82,5;52,5;100
Matthäus Pilot;None;None;UPC-Germany;03.10.2015;None;M;28;160;85;195
Mathias Erdmann;None;None;BVDK;12.10.2017;None;M;27~;145;130;170
Domicela Poplawski;None;NRW;BVDK;24.08.2019;None;W;34;85;52,5;105
Hanna Sophie Reuter;None;BB;BVDK;12.09.2015;Deutschland;W;16;105;52,5;107,5
Janka-Maria Lohr;None;None;BVDK;28.04.2019;None;W;21~;97,5;50;117,5
Sven Fischer;None;HE;Germany-UA;16.12.2017;Deutschland;M;29;140;100;165
Hannes Reyer;None;None;Germany-UA;01.12.2009;None;M;;120;107,5;175
Simon Terhorst;None;NRW;BVDK;06.05.2017;Deutschland;M;;140;115;180
Gabriel Bergmaier;None;None;Germany-UA;17.12.2011;None;M;26;150;95;180
Reno Karkuschke;None;NV;WPC;06.11.2012;Deutschland;M;44;102,5;97,5;140
Leitha Matz;None;BE;Germany-UA;05.10.2015;None;W;;85;50;115
Drago Siegert;None;BB;BVDK;15.06.2019;None;M;14~;150;110;155
Ricarda Seide;None;None;BVDK;25.07.2021;None;W;26~;90;52,5;115
Laura Sophie Hauer;None;None;GDFPF;26.03.2016;None;W;18;82,5;57,5;90
Alexandra Sobolewski;None;BW;BVDK;18.12.2021;None;W;23~;100;42,5;130
Hamid Jadali;None;None;BVDK;30.06.2018;None;M;17~;120;82,5;140
Sergej Neufeld;None;NI;BVDK;28.04.2018;Deutschland;M;44;140;87,5;190
Epi Maria Riehm;None;TH;BVDK;24.08.2019;None;W;14~;77,5;55;105
Andreas Anipkin;None;BB;BVDK;12.09.2015;Deutschland;M;15;122,5;100;170
Ökcu Mazlum;None;None;Germany-UA;15.12.2012;None;M;22;120;95;185
Sven Schöberlein;None;MV;BVDK;21.09.2018;Deutschland;M;41~;185;132,5;175
Irina Grandl;None;None;BVDK;28.04.2019;None;W;45;92,5;40;112,5
Margrit Kruse;None;MV;UPC-Germany;05.10.2019;None;W;;102,5;47,5;115
Andreas Machann;None;None;WUAP;17.06.2019;Deutschland;M;41;110;100;190
Vivian Koch;None;HE;BVDK;10.06.2017;None;W;16;95;45;127,5
Dr Martin Holfeld;None;None;BVDK;29.08.2021;Deutschland;M;57;122,5;95;132,5
Amanda John;None;None;UPC-Germany;31.03.2016;None;W;;85;40;110
Anne Nagel;None;BB;BVDK;19.09.2014;None;W;24~;100;52,5;122,5
Uwe Kiefer;None;HE;Germany-UA;14.12.2019;None;M;49;145;117,5;185
Otto Sallamon;None;NRW;BVDK;24.06.2022;None;M;58;142,5;100;175
Jonas Knapp;None;BW;BVDK;22.09.2019;None;M;;122,5;92,5;170
Katharina Schaller;None;None;BVDK;28.04.2019;None;W;;105;55;125
Ingo Cremer;None;None;GPU;25.04.2015;Deutschland;M;41;110;120;155
Tim Kistenfeger;None;BY;BVDK;06.10.2018;None;M;26~;127,5;102,5;155
Stephanie Kroth;None;None;Germany-UA;15.12.2012;None;W;39;105;55;120
Sabine Wedel;None;None;GDFPF;26.03.2016;None;W;22;90;55;115
Christian Stoebke;None;NRW;BVDK;06.05.2017;Deutschland;M;40;150;102,5;192,5
Robert Schäfer;None;BW;BVDK;22.09.2019;None;M;;140;100;187,5
Svitlana Mednikova;None;None;GPU;09.02.2019;Deutschland;W;45;80;50;95
Jessica Moskopp;None;NRW;Germany-UA;09.11.2018;None;W;29~;82,5;52,5;110
Stefanie Thon;None;HE;BVDK;20.05.2022;None;W;22~;80;52,5;105
Juliane Wannemacher;None;HE;Germany-UA;16.12.2017;None;W;35;85;55;112,5
Nicole Basmer;None;NRW;BVDK;29.08.2015;None;W;26;75;35;112,5
Kyle Bragger;None;BE;Germany-UA;05.10.2015;None;M;;150;96;175
Falco Rumpel;None;None;WUAP-Germany;04.09.2021;None;M;32~;150;112,5;180
Bernhard Rogge;None;None;BVDK;29.03.2019;None;M;65~;152,5;107,5;185
Tim Wagner;None;None;BVDK;30.04.2021;None;M;21~;145;125;150
Sam Hintzen;None;NRW;BVDK;16.04.2016;None;M;24;160;125;185
Marco de Hoog;None;BB;BVDK;14.02.2015;None;M;41~;145;145;170
David Jurado;None;NRW;BVDK;09.09.2017;Deutschland;M;28;137,5;90;157,5
Hendrik Hofman;None;None;WPF;19.05.2018;Deutschland;M;21;130;132,5;155
Richard Jegg;None;HE;Germany-UA;16.12.2017;None;M;20;135;85;145
Nils Strutz;None;HE;Germany-UA;17.12.2016;Deutschland;M;29;140;87,5;150
Marius Jacob;None;None;Germany-UA;21.12.2013;None;M;18;147,5;80;172,5
Max Gasteiger;None;None;BVDK;29.03.2019;None;M;23~;110;82,5;135
Thomas Fischer;None;None;WUAP;05.10.2016;Deutschland;M;40~;120;95;145
Sebastian Kemper;None;NRW;BVDK;01.12.2019;None;M;;150;100;170
Marie-Theres Junge;None;BE;Germany-UA;05.10.2015;None;W;;77,5;52,5;97,5
Jona Wieder;None;NI;BVDK;16.11.2019;None;M;21;132,5;100;160
Michael Grünberg;None;None;GDFPF;16.10.2021;Deutschland;M;55;85;72,5;142,5
Sybille Berndt;None;BB;BVDK;15.09.2012;None;W;53~;100;65;115
Melanie Nowak;None;None;UPC-Germany;01.03.2017;None;W;;85;50;115
Friederike Lorenz;None;HE;BVDK;20.05.2022;None;W;41~;85;45;110
Foyil Dwight;None;None;Germany-UA;15.12.2012;None;M;41;140;105;170
Rainer Haußner;None;TH;BVDK;07.10.2017;Deutschland;M;56~;140;130;170
Baris Gök;None;HH;Germany-UA;09.10.2016;None;M;;140;117,5;172,5
Alexander Dzhyoyer;None;None;Germany-UA;01.12.2005;None;M;21;110;80;145
Patrick Migon;None;None;GPU;03.05.2014;None;M;22;130;110;150
Johanna Lenhard;None;NRW;Germany-UA;04.10.2019;None;W;;92,5;50;117,5
Wiebke Müller;None;NI;BVDK;24.07.2021;None;W;24~;87,5;40;115
Alexandra Töpel;None;TH;BVDK;30.11.2019;None;W;20;100;55;125
Evgenija Matsokina;None;NI;BVDK;01.06.2019;None;W;28~;72,5;55;100
Marvin Radecker;None;None;BVDK;28.04.2019;None;M;;100;70;142,5
Janina Falsche;None;HH;Germany-UA;09.10.2016;None;W;;90;50;105
Michele di Girolamo;None;None;Germany-UA;17.12.2011;None;M;21;115;92,5;170
Elisa Blesin;None;None;GPU;02.05.2022;Deutschland;W;20;82,5;45;102,5
Benjamin Mauske;None;BB;BVDK;12.09.2015;Deutschland;M;16;150;95;190
Hendrik Wobst #2;None;TH;BVDK;24.08.2019;None;M;66~;155;95;202,5
Petra Robeis;None;BY;BVDK;23.10.2021;None;W;;70;50;110
Kathrin Herold;None;NRW;BVDK;15.07.2022;None;W;50;67,5;50;117,5
Bogdan Potapov;None;None;GPU;31.07.2021;Deutschland;M;;147,5;92,5;175
Volker Gunder;None;BB;BVDK;14.06.2014;None;M;46~;140;140;190
Philip Weber;None;HE;BVDK;20.05.2022;None;M;17~;152,5;80;162,5
Christian Hötzel;None;None;Germany-UA;19.12.2015;None;M;35;140;115;200
André Schober;None;None;UPC-Germany;27.03.2015;Deutschland;M;30;170;120;190
Lauris Maarifat;None;HE;Germany-UA;14.12.2019;None;M;26;127,5;95;165
A. Stanik;None;QC;WPFG;26.06.2005;Deutschland;M;;;177,5;260
Holger Bindig;None;NRW;BVDK;09.12.2018;Deutschland;M;48~;135;132,5;145
Lukas Lüttmann;None;NRW;Germany-UA;09.11.2018;None;M;;135;80;165
Anselm Jacobsohn;None;None;BVDK;29.08.2021;None;M;64;140;102,5;162,5
Jürgen Cech;None;BW;BVDK;22.09.2019;None;M;;155;110;162,5
Maximilian Gawenat;None;NRW;BVDK;06.09.2014;None;M;18;95;75;115
Kristine Feist;None;BW;BVDK;22.09.2019;None;W;;87,5;47,5;100
Egon Escher;None;BB;BVDK;12.09.2015;Deutschland;M;60~;110;105;140
Jannik Hartwich;None;MV;UPC-Germany;05.10.2019;None;M;;120;85;170
Dirk Strohbeck;None;HE;Germany-UA;17.12.2016;None;M;20;137,5;102,5;160
Thomas Lange;None;BB;BVDK;12.09.2015;Deutschland;M;48;150;125;155
Kai Sieja;None;NRW;BVDK;27.08.2016;Deutschland;M;17~;127,5;92,5;135
Yannick Schwarz;None;None;Germany-UA;21.12.2013;Deutschland;M;15;120;70;160
Alice Carry Hennig;viking_tattoo_lady;None;GPU;02.05.2022;Deutschland;W;37;77,5;60;105
Ina Scholz;None;SN;BVDK;10.10.2020;Deutschland;W;42;85;85;80
Alexey Krint;None;TH;BVDK;24.02.2018;None;M;17~;120;95;190
Silvia Krüger;None;HE;BVDK;17.08.2019;Deutschland;W;40;115;87,5;100
Carina Bizenberger;None;None;BVDK;29.03.2019;None;W;29~;90;55;110
Colin Zajic;None;BB;BVDK;23.06.2018;Deutschland;M;18~;140;82,5;185
Vladimir Gertner;None;None;GDFPF;02.03.2014;Deutschland;M;15;110;70;150
Eugen Weber;None;None;BVDK;30.10.2021;None;M;46;180;125;175
Ariane Bötel;None;None;BVDK;29.08.2021;None;W;42;100;67,5;145
Benjamin Koch;None;NI;BVDK;22.08.2015;None;M;32;167,5;90;170
Dany Brzinski;None;BB;BVDK;16.09.2016;Deutschland;W;30~;90;45;90
Tom Niclas Köcher;None;TH;BVDK;08.10.2016;None;M;16;97,5;97,5;125
Amelie Storch;None;None;GDFPF;21.10.2017;None;W;27;100;60;122,5
Fabio Zahn;None;SN;BVDK;29.04.2017;None;M;18;110;75;170
Kirsten Schwade;None;None;PLH;08.03.2014;Deutschland;W;59;90;77,5;125
Lenz Kubitza;None;HE;Germany-UA;14.12.2019;None;M;20;125;100;180
Deborah Berthold;None;HE;BVDK;20.05.2022;None;W;28~;72,5;45;102,5
Detlef Krüger;None;None;BVDK;09.09.2017;Deutschland;M;40~;120;112,5;150
Jakob Wittig;None;None;BVDK;28.04.2019;None;M;;142,5;92,5;165
Frederic Berg;None;NRW;BVDK;29.08.2015;None;M;23;120;80;152,5
Jenny Nowak;None;NRW;Germany-UA;04.10.2019;None;W;;90;42,5;95
Giti Godratmand;None;None;WDFPF;25.10.2019;Deutschland;W;55;77,5;42,5;100
Julija Meyer;None;HE;BVDK;02.11.2019;None;W;22~;85;50;110
Dietrich Robin;None;HE;BVDK;30.11.2013;None;M;18;100;100;212,5
Elisa Meral Hundertmark;None;NRW;BVDK;09.09.2017;Deutschland;W;20~;72,5;55;120
Pia Ahlers;None;NI;BVDK;01.06.2019;None;W;20;95;62,5;100
Sina Baumert;None;NRW;BVDK;24.06.2022;None;W;34;90;55;105
Alicia Stefanie Schmitz;None;HE;Germany-UA;15.12.2018;None;W;19;87,5;37,5;102,5
Rico Martinez;None;None;GRAWA;24.09.2011;Deutschland;M;;;180;230
Nancy Ihle;None;None;BVDK;29.03.2019;None;W;28~;90;45;100
Johannes Schädlich;None;None;VGPF;14.06.2015;Deutschland;M;31;140;87,5;165
Matthias Müller;None;HE;BVDK;20.05.2022;None;M;28~;135;95;180
Sabrina Ammann;None;BY;BVDK;06.10.2018;None;W;24~;85;60;110
Valentin Hoffmann;None;None;BVDK;25.07.2021;None;M;22;75;140;190
Marnie Koenen;None;HE;Germany-UA;15.12.2018;None;W;39;95;55;115
Erwin Plewe;None;HE;BVDK;12.05.2018;Deutschland;M;47~;125;127,5;175
Julian Nolte;None;NRW;BVDK;27.04.2013;None;M;20;120;95;140
Christian Reinle;None;BW;BVDK;22.09.2019;None;M;;100;160;140
Katharina Stöckler;None;HE;Germany-UA;16.12.2017;None;W;24;90;47,5;87,5
Franzi Manko;None;None;GDFPF;21.10.2017;None;W;34;80;50;100
Viktoria Truschko;None;NRW;BVDK;29.08.2015;None;W;22;85;37,5;82,5
Sibylle Berndt;None;BB;BVDK;03.09.2011;None;W;52~;100;60;110
Marcel Schmidt;None;NI;BVDK;01.06.2019;Deutschland;M;35~;142,5;97,5;160
Annika Kiefer;None;None;BVDK;10.04.2022;Deutschland;W;26~;80;65;100
Laura Bastos do Nascimento;None;HE;Germany-UA;15.12.2018;None;W;24;90;55;112,5
Fintan Neidlinger;None;BY;BVDK;06.10.2018;None;M;22~;130;90;160
Jolien Steiner;None;BY;BVDK;16.03.2019;None;W;16;115;62,5;135
Woitek Kaminski;None;None;UPC-Germany;01.03.2017;None;M;;110;100;170
Denny Gerschel;None;TH;BVDK;22.04.2017;None;M;15~;120;80;140
Manuel Krönke;None;BW;BVDK;18.12.2021;None;M;20~;125;100;170
Natalie Oppenhäuser;None;BB;BVDK;15.09.2012;None;W;22~;90;50;115
Niels Daniel;None;NI;BVDK;28.04.2018;Deutschland;M;20~;80;62,5;127,5
Dmitry Shipunov;None;HE;BVDK;27.09.2014;None;M;18;140;90;175
Jeanine Serwatka;None;NRW;BVDK;09.09.2017;Deutschland;W;22~;80;47,5;125
Albert Kocikowski;None;None;BVDK;12.10.2017;Deutschland;M;16;160;102,5;155
Penelope Cantrell-Gann;None;None;GDFPF;16.10.2021;None;W;47;62,5;37,5;97,5
Miriam Trillhaas;mooncracker180;BY;BVDK;20.10.2018;None;W;16;102,5;55;115
Max Ebersberger;None;None;GRAWA;10.09.2011;None;M;;160;;240
David Wietmaier;None;BB;BVDK;19.09.2014;None;M;16;92,5;92,5;147,5
Rosa Zink;None;BY;BVDK;27.07.2019;None;W;27~;105;52,5;115
Frank Wojahn;None;BB;BVDK;12.09.2015;Deutschland;M;50~;147,5;120;150
Marc Doraszelski;None;BY;BVDK;06.10.2018;None;M;23~;142,5;95;157,5
Maja Schmidt;None;None;GDFPF;16.10.2021;Deutschland;W;18;80;55;100
Hannah Kannowsky;None;BY;BVDK;14.12.2019;None;W;19~;70;50;85
Valentina Gaukel;None;BW;BVDK;29.04.2017;None;W;21~;75;42,5;92,5
Phuong Trinh;None;NI;BVDK;16.11.2019;None;W;17;75;35;100
Simon Geiger;None;None;GDFPF;02.03.2014;Deutschland;M;18;120;95;130
Paul Torres;None;NRW;BVDK;12.05.2012;None;M;23~;120;85;160
Camillo Löffler;None;NRW;BVDK;27.04.2013;None;M;;105;85;150
Johannes Pfundmeier;None;None;GDFPF;05.04.2015;None;M;23;120;90;160
Tristan Lüchtenborg;None;NRW;BVDK;24.06.2022;None;M;17;110;82,5;135
Birger Liedtke;None;None;GRAWA;24.09.2011;Deutschland;M;50;;130;280
Sophia Schramm;None;BY;BVDK;12.05.2018;Deutschland;W;23;77,5;52,5;87,5
Bernd Beyer;None;None;PAGermany;28.04.2017;Deutschland;M;49;160;110;160
Maria Rathjen;None;HH;Germany-UA;09.10.2016;None;W;;90;37,5;110
Alice Rose Teschabaioglu;None;HE;Germany-UA;15.12.2018;None;W;26;82,5;50;115
Frank Eser;None;BW;BVDK;18.12.2021;None;M;41~;107,5;65;150
Murat Leidecker;None;BB;BVDK;11.06.2016;Deutschland;M;16;107,5;85;140
Lisa Wiegand;None;BB;BVDK;12.09.2015;Deutschland;W;22~;85;45;115
David Rothermund;None;None;GPU;02.05.2022;Deutschland;M;20;125;80;140
Claudia Stöbe;None;None;PAGermany;28.04.2017;Deutschland;W;50;60;40;115
Lino Marschall;None;BY;BVDK;12.05.2018;Deutschland;M;17~;120;87,5;170
Torben Hans Schilling;None;None;BVDK;12.10.2017;Deutschland;M;15~;145;82,5;162,5
Peter Sammrey;None;None;GRAWA;10.09.2011;Deutschland;M;;220;;232,5
Lena Holtzhauer;None;NI;BVDK;16.11.2019;None;W;18;82,5;45;120
Eren Kagadar;None;None;Germany-UA;17.12.2011;None;M;;90;80;132,5
U. Heinrich;None;QC;WPFG;26.06.2005;Deutschland;M;;;187,5;235
Anna Slawik;None;BY;UPC-Germany;30.09.2017;None;W;;80;42,5;100
Charlotte Zeuch;None;BW;BVDK;18.12.2021;None;W;21~;80;47,5;100
Ondre Uhligg;None;None;GRAWA;24.09.2011;None;M;;;160;260
Eva Stadler;None;TH;BVDK;07.10.2017;None;W;31;67,5;40;97,5
Hartmut Wiechert;None;MV;BVDK;21.09.2019;Deutschland;M;72;125;95;170
Lucas Dennhardt;None;TH;BVDK;23.04.2016;None;M;17;105;95;150
Sean Siebentaler;None;ST;BVDK;23.09.2017;None;M;15~;117,5;77,5;130
Magnus Erley;None;NRW;BVDK;16.04.2016;None;M;23;135;100;170
Patrick Probst;None;BW;BVDK;22.09.2019;None;M;;140;95;150
Clayton Carlos;None;HH;Germany-UA;09.10.2016;None;M;;112,5;75;147,5
Marvin Filz;None;NRW;BVDK;26.09.2020;None;M;17~;117,5;75;150
Hannah Hoppe;None;None;GPU;01.02.2020;Deutschland;W;19;115;55;125
Julina Schutta;None;HE;BVDK;15.08.2020;Deutschland;W;26;100;47,5;135
Paul Friedel;None;SN;BVDK;24.11.2018;None;M;19;100;80;145
Judith Gohla;None;BE;Germany-UA;05.10.2015;None;W;;90;45;100
Frederik Kramer;None;HE;BVDK;20.05.2022;None;M;17~;120;97,5;200
André Mendyka;None;TH;BVDK;30.05.2015;None;M;17;140;85;155
Maike Upmann;None;HH;Germany-UA;01.09.2017;None;W;;105;60;115
